date,warehouse,category,sku_id,product_name,brand,units_sold,revenue_inr,temperature_c,festival_flag,sale_flag,return_units,inventory_on_hand,days_to_stockout,customer_segment,avg_rating
2025-01-08,Mumbai_Central,Women_Western,SKU037,Trench Coat - Beige,Marks & Spencer,45,225000,29.2,0,0,4,67,12,Premium,4.6
2025-01-08,Mumbai_Central,Women_Footwear,SKU038,Wedge Sandals,Catwalk,234,234000,29.2,0,0,19,289,6,Mass_Premium,4.2
2025-01-08,Mumbai_Central,Men_Casual,SKU039,Bomber Jacket,Pepe Jeans,78,312000,29.2,0,0,6,102,11,Young_Professional,4.5
2025-01-08,Mumbai_Central,Accessories,SKU040,Diamond Studs,Tanishq,34,850000,29.2,0,0,3,45,13,Luxury,4.9
2025-01-08,Delhi_Gurgaon,Women_Ethnic,SKU036,Chanderi Silk Suit,Nalli,112,560000,11.5,0,0,9,145,9,Luxury,4.8
2025-01-08,Delhi_Gurgaon,Women_Western,SKU037,Trench Coat - Beige,Marks & Spencer,67,335000,11.5,0,0,5,89,10,Premium,4.6
2025-01-08,Delhi_Gurgaon,Women_Footwear,SKU038,Wedge Sandals,Catwalk,198,198000,11.5,0,0,16,245,7,Mass_Premium,4.2
2025-01-08,Delhi_Gurgaon,Men_Casual,SKU039,Bomber Jacket,Pepe Jeans,98,392000,11.5,0,0,8,123,9,Young_Professional,4.5
2025-01-08,Delhi_Gurgaon,Accessories,SKU040,Diamond Studs,Tanishq,45,1125000,11.5,0,0,4,56,11,Luxury,4.9
2025-01-08,Bangalore_Whitefield,Women_Ethnic,SKU036,Chanderi Silk Suit,Nalli,78,390000,26.7,0,0,6,98,11,Luxury,4.8
2025-01-08,Bangalore_Whitefield,Women_Western,SKU037,Trench Coat - Beige,Marks & Spencer,56,280000,26.7,0,0,4,78,12,Premium,4.6
2025-01-08,Bangalore_Whitefield,Women_Footwear,SKU038,Wedge Sandals,Catwalk,267,267000,26.7,0,0,21,334,5,Mass_Premium,4.2
2025-01-08,Bangalore_Whitefield,Men_Casual,SKU039,Bomber Jacket,Pepe Jeans,67,268000,26.7,0,0,5,89,11,Young_Professional,4.5
2025-01-08,Bangalore_Whitefield,Accessories,SKU040,Diamond Studs,Tanishq,28,700000,26.7,0,0,2,38,14,Luxury,4.9
2025-01-09,Mumbai_Central,Women_Ethnic,SKU041,Phulkari Dupatta,FabAlley,312,156000,28.4,0,0,25,389,4,Value,4.0
2025-01-09,Mumbai_Central,Women_Western,SKU042,Pleated Pants - Black,Mango,156,312000,28.4,0,0,12,198,9,Premium,4.5
2025-01-09,Mumbai_Central,Women_Footwear,SKU043,Ankle Boots,Dune,89,356000,28.4,0,0,7,112,10,Premium,4.6
2025-01-09,Mumbai_Central,Men_Casual,SKU044,Sweatshirt - Logo,Adidas,234,351000,28.4,0,0,19,289,6,Young_Professional,4.4
2025-01-09,Mumbai_Central,Accessories,SKU045,Pearl Necklace,Zaveri Pearls,145,362500,28.4,0,0,12,178,8,Premium,4.7
2025-01-09,Delhi_Gurgaon,Women_Ethnic,SKU041,Phulkari Dupatta,FabAlley,378,189000,10.2,0,0,30,456,3,Value,4.0
2025-01-09,Delhi_Gurgaon,Women_Western,SKU042,Pleated Pants - Black,Mango,134,268000,10.2,0,0,11,167,10,Premium,4.5
2025-01-09,Delhi_Gurgaon,Women_Footwear,SKU043,Ankle Boots,Dune,112,448000,10.2,0,0,9,145,8,Premium,4.6
2025-01-09,Delhi_Gurgaon,Men_Casual,SKU044,Sweatshirt - Logo,Adidas,289,433500,10.2,0,0,23,356,5,Young_Professional,4.4
2025-01-09,Delhi_Gurgaon,Accessories,SKU045,Pearl Necklace,Zaveri Pearls,167,417500,10.2,0,0,13,212,7,Premium,4.7
2025-01-09,Bangalore_Whitefield,Women_Ethnic,SKU041,Phulkari Dupatta,FabAlley,267,133500,27.5,0,0,21,334,5,Value,4.0
2025-01-09,Bangalore_Whitefield,Women_Western,SKU042,Pleated Pants - Black,Mango,178,356000,27.5,0,0,14,223,8,Premium,4.5
2025-01-09,Bangalore_Whitefield,Women_Footwear,SKU043,Ankle Boots,Dune,78,312000,27.5,0,0,6,102,11,Premium,4.6
2025-01-09,Bangalore_Whitefield,Men_Casual,SKU044,Sweatshirt - Logo,Adidas,198,297000,27.5,0,0,16,245,7,Young_Professional,4.4
2025-01-09,Bangalore_Whitefield,Accessories,SKU045,Pearl Necklace,Zaveri Pearls,123,307500,27.5,0,0,10,156,10,Premium,4.7
2025-01-10,Mumbai_Central,Women_Ethnic,SKU046,Patola Saree,Kalki,34,680000,28.1,1,0,3,45,12,Luxury,4.8
2025-01-10,Mumbai_Central,Women_Western,SKU047,Sequin Top,Zara,189,283500,28.1,1,0,15,234,7,Premium,4.3
2025-01-10,Mumbai_Central,Women_Footwear,SKU048,Glitter Heels,Jimmy Choo,23,690000,28.1,1,0,2,34,14,Luxury,4.9
2025-01-10,Mumbai_Central,Men_Casual,SKU049,Kurta Pajama Set,Manyavar,267,400500,28.1,1,0,21,334,5,Premium,4.6
2025-01-10,Mumbai_Central,Accessories,SKU050,Clutch - Gold,Michael Kors,78,390000,28.1,1,0,6,102,10,Premium,4.7
2025-01-10,Delhi_Gurgaon,Women_Ethnic,SKU046,Patola Saree,Kalki,56,1120000,9.8,1,0,4,67,10,Luxury,4.8
2025-01-10,Delhi_Gurgaon,Women_Western,SKU047,Sequin Top,Zara,156,234000,9.8,1,0,12,198,9,Premium,4.3
2025-01-10,Delhi_Gurgaon,Women_Footwear,SKU048,Glitter Heels,Jimmy Choo,34,1020000,9.8,1,0,3,45,12,Luxury,4.9
2025-01-10,Delhi_Gurgaon,Men_Casual,SKU049,Kurta Pajama Set,Manyavar,334,501000,9.8,1,0,27,412,4,Premium,4.6
2025-01-10,Delhi_Gurgaon,Accessories,SKU050,Clutch - Gold,Michael Kors,98,490000,9.8,1,0,8,123,8,Premium,4.7
2025-01-10,Bangalore_Whitefield,Women_Ethnic,SKU046,Patola Saree,Kalki,28,560000,26.2,1,0,2,38,13,Luxury,4.8
2025-01-10,Bangalore_Whitefield,Women_Western,SKU047,Sequin Top,Zara,212,318000,26.2,1,0,17,267,7,Premium,4.3
2025-01-10,Bangalore_Whitefield,Women_Footwear,SKU048,Glitter Heels,Jimmy Choo,19,570000,26.2,1,0,2,28,15,Luxury,4.9
2025-01-10,Bangalore_Whitefield,Men_Casual,SKU049,Kurta Pajama Set,Manyavar,223,334500,26.2,1,0,18,278,6,Premium,4.6
2025-01-10,Bangalore_Whitefield,Accessories,SKU050,Clutch - Gold,Michael Kors,67,335000,26.2,1,0,5,89,11,Premium,4.7
2025-01-11,Mumbai_Central,Women_Ethnic,SKU001,Silk Saree - Banarasi,Fabindia,312,2184000,28.7,1,0,25,389,3,Premium,4.6
2025-01-11,Mumbai_Central,Women_Western,SKU002,Floral Maxi Dress,ONLY,178,267000,28.7,1,0,14,223,8,Young_Professional,4.3
2025-01-11,Mumbai_Central,Women_Footwear,SKU003,Block Heels - Nude,Steve Madden,134,536000,28.7,1,0,11,167,9,Premium,4.5
2025-01-11,Mumbai_Central,Men_Casual,SKU004,Slim Fit Chinos - Navy,Arrow,198,396000,28.7,1,0,16,245,7,Professional,4.4
2025-01-11,Mumbai_Central,Accessories,SKU005,Leather Tote Bag,Hidesign,89,445000,28.7,1,0,7,112,10,Premium,4.7
2025-01-11,Delhi_Gurgaon,Women_Ethnic,SKU001,Silk Saree - Banarasi,Fabindia,389,2723000,8.5,1,0,31,456,2,Premium,4.6
2025-01-11,Delhi_Gurgaon,Women_Western,SKU002,Floral Maxi Dress,ONLY,145,217500,8.5,1,0,12,178,9,Young_Professional,4.3
2025-01-11,Delhi_Gurgaon,Women_Footwear,SKU003,Block Heels - Nude,Steve Madden,156,624000,8.5,1,0,12,198,8,Premium,4.5
2025-01-11,Delhi_Gurgaon,Men_Casual,SKU004,Slim Fit Chinos - Navy,Arrow,234,468000,8.5,1,0,19,289,6,Professional,4.4
2025-01-11,Delhi_Gurgaon,Accessories,SKU005,Leather Tote Bag,Hidesign,112,560000,8.5,1,0,9,145,8,Premium,4.7
2025-01-11,Bangalore_Whitefield,Women_Ethnic,SKU001,Silk Saree - Banarasi,Fabindia,267,1869000,25.8,1,0,21,334,4,Premium,4.6
2025-01-11,Bangalore_Whitefield,Women_Western,SKU002,Floral Maxi Dress,ONLY,198,297000,25.8,1,0,16,245,7,Young_Professional,4.3
2025-01-11,Bangalore_Whitefield,Women_Footwear,SKU003,Block Heels - Nude,Steve Madden,112,448000,25.8,1,0,9,145,10,Premium,4.5
2025-01-11,Bangalore_Whitefield,Men_Casual,SKU004,Slim Fit Chinos - Navy,Arrow,167,334000,25.8,1,0,13,212,9,Professional,4.4
2025-01-11,Bangalore_Whitefield,Accessories,SKU005,Leather Tote Bag,Hidesign,78,390000,25.8,1,0,6,102,11,Premium,4.7
2025-01-12,Mumbai_Central,Women_Ethnic,SKU006,Anarkali Kurta Set,W,423,634500,28.3,1,0,34,512,2,Mass_Premium,4.2
2025-01-12,Mumbai_Central,Women_Western,SKU007,Blazer - Black Formal,Vero Moda,112,336000,28.3,1,0,9,145,10,Professional,4.4
2025-01-12,Mumbai_Central,Women_Footwear,SKU008,White Sneakers,Puma,289,433500,28.3,1,0,23,356,4,Young_Professional,4.5
2025-01-12,Mumbai_Central,Men_Casual,SKU009,Printed T-Shirt,Roadster,467,280200,28.3,1,0,37,534,1,Value,4.1
2025-01-12,Mumbai_Central,Accessories,SKU010,Silver Oxidized Earrings,Pipa Bella,234,117000,28.3,1,0,19,289,6,Young_Professional,4.3
2025-01-12,Delhi_Gurgaon,Women_Ethnic,SKU006,Anarkali Kurta Set,W,512,768000,7.2,1,0,41,623,1,Mass_Premium,4.2
2025-01-12,Delhi_Gurgaon,Women_Western,SKU007,Blazer - Black Formal,Vero Moda,98,294000,7.2,1,0,8,123,11,Professional,4.4
2025-01-12,Delhi_Gurgaon,Women_Footwear,SKU008,White Sneakers,Puma,245,367500,7.2,1,0,20,312,5,Young_Professional,4.5
2025-01-12,Delhi_Gurgaon,Men_Casual,SKU009,Printed T-Shirt,Roadster,534,320400,7.2,1,0,43,645,0,Value,4.1
2025-01-12,Delhi_Gurgaon,Accessories,SKU010,Silver Oxidized Earrings,Pipa Bella,278,139000,7.2,1,0,22,345,5,Young_Professional,4.3
2025-01-12,Bangalore_Whitefield,Women_Ethnic,SKU006,Anarkali Kurta Set,W,378,567000,25.4,1,0,30,456,3,Mass_Premium,4.2
2025-01-12,Bangalore_Whitefield,Women_Western,SKU007,Blazer - Black Formal,Vero Moda,134,402000,25.4,1,0,11,167,9,Professional,4.4
2025-01-12,Bangalore_Whitefield,Women_Footwear,SKU008,White Sneakers,Puma,312,468000,25.4,1,0,25,389,4,Young_Professional,4.5
2025-01-12,Bangalore_Whitefield,Men_Casual,SKU009,Printed T-Shirt,Roadster,423,253800,25.4,1,0,34,512,2,Value,4.1
2025-01-12,Bangalore_Whitefield,Accessories,SKU010,Silver Oxidized Earrings,Pipa Bella,198,99000,25.4,1,0,16,245,7,Young_Professional,4.3
2025-01-13,Mumbai_Central,Women_Ethnic,SKU011,Cotton Palazzo Set,Biba,289,289000,28.9,0,0,23,356,5,Mass_Premium,4.3
2025-01-13,Mumbai_Central,Women_Western,SKU012,Denim Jacket,H&M,178,267000,28.9,0,0,14,223,8,Young_Professional,4.2
2025-01-13,Mumbai_Central,Women_Footwear,SKU013,Kolhapuri Chappal,Metro,345,172500,28.9,0,0,28,423,4,Value,4.4
2025-01-13,Mumbai_Central,Men_Casual,SKU014,Polo T-Shirt - White,US Polo,234,351000,28.9,0,0,19,289,6,Professional,4.5
2025-01-13,Mumbai_Central,Accessories,SKU015,Laptop Bag - Premium,Wildcraft,112,336000,28.9,0,0,9,145,9,Professional,4.6
2025-01-13,Delhi_Gurgaon,Women_Ethnic,SKU011,Cotton Palazzo Set,Biba,334,334000,6.8,0,0,27,412,4,Mass_Premium,4.3
2025-01-13,Delhi_Gurgaon,Women_Western,SKU012,Denim Jacket,H&M,156,234000,6.8,0,0,12,198,9,Young_Professional,4.2
2025-01-13,Delhi_Gurgaon,Women_Footwear,SKU013,Kolhapuri Chappal,Metro,289,144500,6.8,0,0,23,356,5,Value,4.4
2025-01-13,Delhi_Gurgaon,Men_Casual,SKU014,Polo T-Shirt - White,US Polo,267,400500,6.8,0,0,21,334,5,Professional,4.5
2025-01-13,Delhi_Gurgaon,Accessories,SKU015,Laptop Bag - Premium,Wildcraft,134,402000,6.8,0,0,11,167,8,Professional,4.6
2025-01-13,Bangalore_Whitefield,Women_Ethnic,SKU011,Cotton Palazzo Set,Biba,256,256000,26.1,0,0,20,312,6,Mass_Premium,4.3
2025-01-13,Bangalore_Whitefield,Women_Western,SKU012,Denim Jacket,H&M,198,297000,26.1,0,0,16,245,7,Young_Professional,4.2
2025-01-13,Bangalore_Whitefield,Women_Footwear,SKU013,Kolhapuri Chappal,Metro,378,189000,26.1,0,0,30,456,3,Value,4.4
2025-01-13,Bangalore_Whitefield,Men_Casual,SKU014,Polo T-Shirt - White,US Polo,198,297000,26.1,0,0,16,245,7,Professional,4.5
2025-01-13,Bangalore_Whitefield,Accessories,SKU015,Laptop Bag - Premium,Wildcraft,98,294000,26.1,0,0,8,123,10,Professional,4.6
2025-01-14,Mumbai_Central,Women_Ethnic,SKU016,Georgette Sharara Set,Aurelia,198,396000,29.1,0,0,16,245,7,Premium,4.5
2025-01-14,Mumbai_Central,Women_Western,SKU017,Crop Top - Printed,Forever 21,334,167000,29.1,0,0,27,412,4,Young_Professional,4.0
2025-01-14,Mumbai_Central,Women_Footwear,SKU018,Stilettos - Red,Charles & Keith,89,356000,29.1,0,0,7,112,10,Premium,4.6
2025-01-14,Mumbai_Central,Men_Casual,SKU019,Casual Shirt - Checks,Van Heusen,234,351000,29.1,0,0,19,289,6,Professional,4.4
2025-01-14,Mumbai_Central,Accessories,SKU020,Smart Watch Strap,Boat,423,211500,29.1,0,0,34,512,3,Young_Professional,4.2
2025-01-14,Delhi_Gurgaon,Women_Ethnic,SKU016,Georgette Sharara Set,Aurelia,234,468000,5.5,0,0,19,289,6,Premium,4.5
2025-01-14,Delhi_Gurgaon,Women_Western,SKU017,Crop Top - Printed,Forever 21,289,144500,5.5,0,0,23,356,5,Young_Professional,4.0
2025-01-14,Delhi_Gurgaon,Women_Footwear,SKU018,Stilettos - Red,Charles & Keith,112,448000,5.5,0,0,9,145,9,Premium,4.6
2025-01-14,Delhi_Gurgaon,Men_Casual,SKU019,Casual Shirt - Checks,Van Heusen,289,433500,5.5,0,0,23,356,4,Professional,4.4
2025-01-14,Delhi_Gurgaon,Accessories,SKU020,Smart Watch Strap,Boat,378,189000,5.5,0,0,30,456,3,Young_Professional,4.2
2025-01-14,Bangalore_Whitefield,Women_Ethnic,SKU016,Georgette Sharara Set,Aurelia,178,356000,26.8,0,0,14,223,8,Premium,4.5
2025-01-14,Bangalore_Whitefield,Women_Western,SKU017,Crop Top - Printed,Forever 21,378,189000,26.8,0,0,30,456,3,Young_Professional,4.0
2025-01-14,Bangalore_Whitefield,Women_Footwear,SKU018,Stilettos - Red,Charles & Keith,98,392000,26.8,0,0,8,123,10,Premium,4.6
2025-01-14,Bangalore_Whitefield,Men_Casual,SKU019,Casual Shirt - Checks,Van Heusen,212,318000,26.8,0,0,17,267,7,Professional,4.4
2025-01-14,Bangalore_Whitefield,Accessories,SKU020,Smart Watch Strap,Boat,456,228000,26.8,0,0,36,534,2,Young_Professional,4.2
2025-01-15,Mumbai_Central,Women_Ethnic,SKU021,Lehenga Choli - Bridal,Sabyasachi,45,4500000,28.5,0,1,4,56,10,Luxury,4.9
2025-01-15,Mumbai_Central,Women_Western,SKU022,Jumpsuit - Navy,Zara,145,290000,28.5,0,1,12,178,9,Premium,4.5
2025-01-15,Mumbai_Central,Women_Footwear,SKU023,Flat Sandals - Tan,Clarks,267,267000,28.5,0,1,21,334,5,Professional,4.4
2025-01-15,Mumbai_Central,Men_Casual,SKU024,Joggers - Grey,Nike,334,501000,28.5,0,1,27,412,3,Young_Professional,4.6
2025-01-15,Mumbai_Central,Accessories,SKU025,Sunglasses - Aviator,Ray-Ban,178,890000,28.5,0,1,14,223,7,Premium,4.7
